بزغاله بودن ، بهتر از حرامزاده بودن است	Ardalan	ardalanmusavi	UK			
کمیته دفاع از حقوق پیروان ادیان گفت‌وگویی کوتاه با محمد مصطفایی بر پایه موازین فقه	kmiteh adian	komitehadian	not-given			http://t.co/Uj1CquF
کمیته دفاع از حقوق پیروان ادیان فراخوان سازمان عفو بین الملل برای آزادی ابوالفضل ع	kmiteh adian	komitehadian	not-given			http://t.co/NYj2sHQ
حالا زیر فید ما چه جای دعوای عروس و مادرشوهره؟ re	Rezaritto	Rezaritto	not-given			http://ff.im/GZWch
آمریکا و اسرائیل مانور دفاع موشکی برگزار می کنند ارتش اسرائیل اعلام کرده است که یک مانور دفاع موشکی مشترک با ار	The Menog اخبار جهان	TheMenog	Every Where			http://t.co/nEOIdaf4
البته اینجا زده پیت بول کلا خشنه یه خورده نظرم یه خورده عوض شد، خواستی بکشیش حواست باشه به خودت	c30net	c30net	not-given		@Sezimik	
روز قیامت وحیدآنلاین گودری ها رو شفاعت میکنه	c30net	c30net	not-given			
اخریو نمی نویسم میام یه روز ولی معلوم نیس کی وکجا	nastaran	nastaran_fa	not-given			
چرا از ياسي خبري نميشه	Elahe amini	Elaheamini	not-given			
دلم خیلی می خواهد داد بزند فریاد کند ولی باز به این دلم می گویم آیا می توان دوباره زنده شد و امیدواربود	Omid Mirzaie	OMirzaie	not-given	#fb		
تورکیه‌ و آمریکا بیرلشیک دؤلتلری، اکونومیک اورتاقلیق کومیسیونو اوچون ماسایا اوتوردو	TRTTURKI.COM	trtturkicom	Ankara			http://t.co/siQjkl47
نرم افزار ساخت منو براي دي وي دي dvdstyler final portable	moj	pcmoj	sari			http://www.pcmoj.com/article2559.html
دانلود منيجر قدرتمند download accelerator plus beta with crack	moj	pcmoj	sari			http://www.pcmoj.com/article2556.html
ز نيرنگ عدو هشدار بوي مرگ مي آيد تبر شو خشم شو سبز سبز شو زنجير از فولاد را بشكن	Ghoghnos	farid185	Hamburg			
امروز نه روز پدر که روز پدران در بند است	Ghoghnos	farid185	Hamburg			
بقیشو نمیشه تلفظ کرد اصن	پویا صادقی	Pouya_Saadeghi	iran, rasht		@HAM3D	
اگه می‌فهمید خاموشی یعنی چی، که دیگه ابله نبود	Ali K. Nia	alibidel	Unknown			
دل و جانی که بود، آواره شد دوش از غم هجران دگر، یا رب غم هجران چه می‌خواهد ز ما امشب	Ali K. Nia	alibidel	Unknown			
سحرم دولت بیدار به بالین آمد گفت برخیز که آن خسرو شیرین آمد	Ali K. Nia	alibidel	Unknown			
همون بهتر که نمی یاد	tajrobenik	tajrobenik	not-given			
هنوز هم که آب پرتقال گیر رو نخریدم	tajrobenik	tajrobenik	not-given			
آخه اسم تو رو که می یارن می شی همه ی دار و ندارم از چی می ترسی مهربونم من که رو عشق تو موندگارم	tajrobenik	tajrobenik	not-given			
عجب صندلی ایییی گذاشته تو این یانکو دزینگ	tajrobenik	tajrobenik	not-given			
وحید جان شما کاوه رو میشناختی ؟	farhad_t	farhad7	iran		@Vahid	
آقا ببخشید از این قفسه‌های کتاب زنانه‌اش را ندارید pic	1000pa	hezarpa	not-given			http://ff.im/F5hZ6
من آقای صانعی را مثل یک فرزند بزرگ کرده‌ام عمام خمینی واقعی	SaeidRad	SaeidRad	not-given			
کم گوی و گوزیده گوی	SaeidRad	SaeidRad	not-given			
منم دارم حرکت می کنم ، دقیقه به میقات سبز آزادی کسی نشینه پای کامپیوتر و یه عمر حسرت بخوره	pirbaba	irpirbaba	not-given			
چهارروز به ميقات بهمن واین بند بندگی و این بارفقرو جهل،به هرصورتی که هست،نگون وگسسته باد راس صبح آزادي و انقلاب تنها نمانيم درشروع ميقات	pirbaba	irpirbaba	not-given			
يكى از فاميلا استاد دانشگاهه جاى شما خالى به نيابت از همه استاداى يه دل سير فحشش دادم و كتكش زدم	farzad talebe	farzadtalebe	not-given			
سرکلاس به استاد پاستیل تعارف کردم نمی دونم چرا ناراحت شد بعد کلاس ترکید بچه ها مردن از خنده نفهمیدم چرا	farzad talebe	farzadtalebe	not-given			
نمی خوام برنامه بنویسم آخه می گن جمعه واسه خودمونه برنامه ننوشتم حداقل تونستم یه سری به تویترم بزنم	tohidfetrat	tohidfetrat	not-given			
عکسای فاطمه وتهیمنه رونگاه میکردم عالیه عکساشون	mary abedi	maryparazit	iran			
فک کنم یه ماهی میشد زنگ نزده بود ولی امروزیه ساعتی حرف زدیم تلافیش دراومد	mary abedi	maryparazit	iran			
دیگه درس حسابی هم نمیتونم بیام نت استرس ول نمیکنه	mary abedi	maryparazit	iran			
دیشب شبیه این خواننده های رپ شده بودم	mary abedi	maryparazit	iran			
اگر توییتر نبود ما همچنان توی وبلاگ های تار عنکبوت زده یمان روز و شب منتظر یک نظر پای پستهایمان مو سپید میکردیم ، اینجا اوج هیجان نویسندگیست	Hamid Ghasemi	olicilo	Iran, Tehran			
آیت‌الله خامنه‌ای و نسخه‌های درمان‌گر	Mehdi Mohseni	mehdimohseni	Germany			http://t.co/Jwk6lBjB
هشدار خبر فوری فوری هکرها؛ در فیس بوک دوباره فعال شدند سریعا این خبر را برای همه دوستانتان در فیس بوک شیر	Arshame Azad	ArshameAzad	not-given			http://t.co/tS09a0m5
اسپرم اسب پیر تو حلقت	hossein do	ho3in63	not-given		@sarneweshteman	
میشه بیشتر توضیح بدی دوست من ؟	hossein do	ho3in63	not-given		@Arshamoo	
شما اصن قزل آلا ما سگ ماهی	Hug of Bug	hugofbug	همه جا			
i liked a youtube video لحظه ترور انورسادات و زنده ماندن حسنی مبارک	Mersad	Mersad20	not-given			http://youtu.be/JFcb_a-km8M?a
پروفسور دیگری که مسلمان شد	Mersad	Mersad20	not-given			http://www.mersad20.com/1388-06-17-07-37-44/2313-1389-08-17-17-29-10.html
حمایت روسیه از تحریم های هوشمند election	Iran News by Kodoom	KodoomIranNews	not-given	#iran,#iranelection		http://bit.ly/dh7w2W
نگرانی سازمان ملل از وضع حقوق بشر در ایران election	Iran News by Kodoom	KodoomIranNews	not-given	#iran,#iranelection		http://bit.ly/cu7YXB
کلن به من هم ربطی نداره الان ها اون یارو هم خودش یه پا دزده ولی اعتقاد من این بود	m.gh	maryam1389	not-given			
کلن مسلطم به اوضاع این خوبه	m.gh	maryam1389	not-given			
ای بسا هندو و ترک همزبان ای بسا دو ترک چون بیگانگان	yenafar	yenafar	not-given			
جفتشون هستن	yenafar	yenafar	not-given			
مجموعه خبرهای مربوط به رویدادهای اول اسفند	green iran	foragreeniran	not-given	#iran,#1esfand		http://news.gooya.com/politics/archives/2011/02/117932.php
esfand جزییات شهادت یک نفر بر اثر تیراندازی نیروهای امنیتی در میدان هفت	green iran	foragreeniran	not-given	#iran,#		http://bit.ly/hoC8Rv
یک سفر بی مقدمه و آنی به مشهد برای روز جور شد همراه خانواده	naatamam	naatamam	Iran - Semnan			
هفته کاریم را شروع کردم	naatamam	naatamam	Iran - Semnan			
اسیلوسکوپ دیجیتالیم را تست وآزمایش کردم	naatamam	naatamam	Iran - Semnan			
برنامه فیلتر شکن اموزش و توضیحات کامل	alireza	maktoubnevsht	not-given			http://zedo-naghiz.blogspot.com/2010/08/aol-tor-jondonym.html
می ترسم از فردا روزی که دق الباب کنند چرا با همسرت در یک بسترخفته ای	alireza	maktoubnevsht	not-given			
آقا، عزیزم، برادر من، محبوب من، خواهر من، هم وطن من به جان عزیزم، رابطه ی سالم رابطه ای نیست که همش دوست داری	Seiied Ali Shafiee	Seiied	not-given			http://t.co/EzsonKb
پیام بذارید به محض خوندن جواب میدم	Mohammad AliPour	worldmohammad	Iran			http://t.co/XudknY8
احمدی نژاد سلامت عقلی ندارد من مطمئن شدم	Mohammad AliPour	worldmohammad	Iran			http://ff.im/HEFw6
با افزونه «استایل بات» کروم، وب را با سلیقه خود هماهنگ کنید	Mohammadreza	mrshm	Iran - Qazvin			http://goo.gl/fb/fFVTm
ايميل هاي تبليغاتي	AliREza	vaajaam	رشت شهر هميشه بارون			
آقا من هفته دیگه از کشور خارج میشم فایلی چیزی میخواید آپلود کنید یه چکه یه میلیونی بدید من ببرم اونوره آب براتون آپلودش کنم	erfanmo	erfanmo	Kuala Lumpur 			
فیلم جدیده دیوید فینچر اومد و من خواب بودم وای بر من	erfanmo	erfanmo	Kuala Lumpur 			
ممنون که راهنمایی کردی حالا به واقعیت وجودیم پی بردم	erfanmo	erfanmo	Kuala Lumpur 		@matt_mh	
سلاااام	جان کانر	J0hnConn0r	مرکز استراتژی			
نرفتی سراغش که یعنی زیاد سراغش نیستی دی	iNiloo :D	NilooMerat	On the way to hell 		@MRezaY	
ترک توافقات واجب شاید	شاهد	toospool	قائمشهر			
به اومدن میگن ارگاسم، ولی به پنیس میگن شوشول	شاهد	toospool	قائمشهر			
چای ریختم یادم رف بخورم سرد شد یه بار دیگه رفتم ریختم بازم استرس دارم نکنه یادم بره بخورمش	Zircheshmi	zircheshmi	Tehran			
بابا بخدا من حالم بده دارم ميميرم كسي باورش نميشه	Zircheshmi	zircheshmi	Tehran			
گاهي نگرانى يه چيزى اتفاق بيوفته بعد وقتى اتفاق ميوفته خيالت راحت ميشه كه ديگه لازم نيست نگران باشى نه كه حالا من نگران بودما ولى حس خوبيه	Amy	fakeAmy	Stockholm			
مناسب برای ۱۳بدر pic	lili	lili_torento	not-given			http://ff.im/-zNsLa
با کفش نو رفتم مهمونی ،پشت پام تاول زده	lili	lili_torento	not-given			http://ff.im/-zJDHR
من با صلوات اروم ميشم نه هميشه، اين روزا خودمم وحشتناك بي تابم	Darya (Che'kenevise)	DaryaSky	Hell		@SarSarKsr	
فرقه بین شنیدن و گوش دادن ، بین دیدن و نگاه کردن ، این رو درک کنید لطفا	rnameh	rnameh	Tehran			
شما ممکن است یکی از کاربری باشید که «مجمع دیوانگان» را فلان جان مادرتان بروید و آدرس فیدبرنرش رو کپی کنید توی گودر این ما را نمود	rnameh	rnameh	Tehran			
راستی چرا؟	alireza	evergreenlove1	not-given			
همین طوری که حوله تنمه بمیرم	nada saboori	nada_sa	not-given			
شب گذشته، سرکنسول اسپانیا در ایران بازداشت شد ندای سبز آزادی irangreenvoice	Narghes Vatankhah	Ortou8	not-given			http://irangreenvoice.com/article/2011/feb/15/10961
ديدن فوتبال ايرانم اين موقع شب حال ميدها	rashidi	sadegh1234	not-given			
قضاوت با خودتون	rashidi	sadegh1234	not-given			http://yfrog.com/gz5cgkaj
اسمایلی دسته بیل مش رجب	Salar	zhipa_	London, United Kingdom			
اوضاع الان استواره	Salar	zhipa_	London, United Kingdom			
این خیلی‌ خوبه که مردا می‌تونن سرپا بشاشن خودش یه امتیازه اصن	Salar	zhipa_	London, United Kingdom			
از سر صبح با آدم های بی مسئولیتی سر و کله می زنم	Pooya Rowshan	pooyar	not-given			
برو بابا اون کجا و این کجا؟ دی	Mostafa Ahmadi	MostafaAhmadi	Iran - Tehran		@mspanadgoo	
مشاهدات موبه مو از ساعت تا در اصفهان میدان انقلاب لطفا در صورت امکان منبع را ذکر کنید	setayesh ansari	p30press	Iran			http://www.p30press.com/?p=546
اها فكر كردم فاميله يه دانشگاه مي رفتيم ما	Sarah	synoptik	Blacksburg, Virginia		@Me1ika,@danialbehzadi	
من به تاريخ علاقه ندارم به جز تاريخ طبيعي كه قشنگ يه ٤ ساعتي توش گشتيم	Sarah	synoptik	Blacksburg, Virginia			
موتورولا گوشی داده بیرون با ضخامت هفت میلی متر اونخ ما اینجا گیره قندشکنیم	Rooh	roohi_	Freedom			
خاک به سرم ساعت یکه برم بکپم	Rooh	roohi_	Freedom			
اقامون استالمن عليه السلام گفتن جابز فرهنگ بد انحصار را از اولين بار از طريق مكينتش منتشر كرده كه بزرگترين خيانت را به ازادي تكنولوژي كرده	Rooh	roohi_	Freedom			
آهای شمایی که ۳ ۰۰۰ ۰۰۰ ۰۰۰ ۰۰۰ تومان اختلاس کردی میدونی خمس و زکات و حق امامش چقدر میشه؟	Rooh	roohi_	Freedom			
یه اصلی هست مبنی بر اینکه تا من ناخونامو از ته میگیرم و کلن دستام زش میشه یکی منو مهمونی دعوت می کنه	opium	opiums	Iran			
میخوام بخوابم	Amin.07	Amiin07	Tehran			
باباي دوستي حالش وخيمه بايد عمل بشه،كفتن بسرش بياد رضايت بده⁰ بسر نداره خوب برادرش بياد⁰ نداره ديكه جاره اي نيس،زنش رضايت بده	fatima	goldboorya	not-given			
کیلو از ایران بار آوردم کیلوش وسایله شخصیه کیلوش اغذیه جاته نگفتم خوردنی که فکر بد نکنید	erfanmo	erfanmo	Kuala Lumpur 			
خوشم میاد شهاب تیزه تا میگیو قضیه رو میگیره مربوط به توییته قبل دی	erfanmo	erfanmo	Kuala Lumpur 			
طرح گسترده رژيم آخوندى براى زيرنظر گرفتن بازماندگان اعدام شدگان دهه شصت	gol.gandom	gole9gandom	not-given	#iranelection,#tehran,#azadi		http://solaleh8.blogspot.com
حالت سوخته را سوخته دل داند و بس	رضا غريب	rezagharib2011	not-given			
من مرد تنهاي شبم	رضا غريب	rezagharib2011	not-given			
من اومدم من سركشم از جنگ غرب و شرق بيزارم ب	رضا غريب	rezagharib2011	not-given			
او فقط یک او نبود، او سوم شخص مفرد تنها بود	farhad abbasi	farhadabbasi	Tehran - iran			
من دوس دارم در حین دعوا مشاجره،مجادله یکهو من را ببوسی	farhad abbasi	farhadabbasi	Tehran - iran			
اهم بله من امروز اولین بنزین زندگیم رو بدون دخالت دیران زدم و خیلی هم خوشحام	Lostafa	Lostafa	Iran			
شنبه هزارتا کار دارم و می خوام برم میمند حالا برای اینکه از دست اونایی که گفتن کار دارن و نیومدن عصبانیم، خودم میرم	Lostafa	Lostafa	Iran			
تمومی نداره کارا	Jennifer 	Jenniferrina	Torino			
«جدایی نادر از سیمین» در صدر فهرست بهترین‌های سال گذشته راجر ایبرت، منتقد مشهور شیکاگو سان‌تایمز قرار گرفته	Jennifer 	Jenniferrina	Torino			http://t.co/NsM8HASA
شهريور به زودي بايد يك تغيير اساسي در زندگي خود بوجود مي آوريد اين تغيير ميتواند از مسائل ساده روزمره شما شر	Hossein	hosseinbk	Iran			http://y.ahoo.it/XCKo1vOU
استاد صرف کردن کلمه دیر هستم تو حالت های مختلف دیر میرسم، دیر میفهمم، دیر انجام میدم، حتی دیر فکر میکنم و دی	Hossein	hosseinbk	Iran			http://y.ahoo.it/6TTdC6bA
سرانگشتانم که می سوزد یعنی وقت ِ‌نوشتن از تـــوستـــ بـ ـیــ ــا در خــ ـیــ ــالــمــ آرام بنشین	hoda hadadian	restive_girl	not-given			http://t.co/lf2Cuhq
داره پرنس جان رو نشون ميده مردتيكه ريشو بي ريشه ريشش خيلي جالبه ريش ريشريش ريش ريش	kiyan irani	kiyanirani	not-given			
تا چند دقیقه دیگر دکتر کورش عرفانی و دکتر بیژن افتخاری تصویر آزادی تلویزیون پارس ‏ ‎ ‎	KhodRahagaran Iran	KhodRahagaran	not-given	#iran‏,#Tabriz‏,#iranelection		http://t.co/xwVUuUc9
استعمارِ پُست مُدرن و مسئولیت تاریخی اپوزیسیون ایران درایجاد آلترناتیو فرهنگ قاسمی ‎ ‎	KhodRahagaran Iran	KhodRahagaran	not-given	#iran‏,#IranElection‏,#Tabriz‏		http://t.co/lJgL2fIF
فریاد آزادی جمعه ۱۸ شهریور در ورزشگاه آزادی	KhodRahagaran Iran	KhodRahagaran	not-given	#Tabriz,#Urumiyeh,#IranElection		http://t.co/OEsekgL
در ارومیه، خیابان‌های مطهری، طالقانی در اختیار نیروهای مردمی ویک موتورنیروهای امنیتی به آتش کشیده شده ‎ ‎	KhodRahagaran Iran	KhodRahagaran	not-given	#Urumiyeh‏,#IranElection‏‏,#Tabriz‏		
مراسم حمایت کشورها از برنامه های خود برای میزبانی جام جهانی می بینیم	younes modabernia	Younes_Modaber	Bandar abbas,iran			
امروز داشتم به این فکر میکردم که اگه مثلا یه روز خدا رو ببینیم چه فحشی بهش بدم که درخورش باشه	Arman dadgooy	Rmaaan	Tehran			
امریکا گفته این هواپیمای بدون سرنشین رو پس بدین ایران هم مطمئنا پس میده ‍ لایک j	Arman dadgooy	Rmaaan	Tehran			
ذغالم تموم شده قلیون مالید	dokhi mashreghi	Dokhi_mashreQi	جایی که جهنم، بهشت آنجاست			
زن داییِ چس عمه داشتن هم نعمته والا	Melika	melika_dh	36.30998,59.557238			
جدی نمیای؟ خودتو چس نکن پاشو بیا	Melika	melika_dh	36.30998,59.557238		@Nelly_hs	
به من مياد فرشته باشم ؟ ايييييييييبيببييببي	sOha	kingsoha	Earth			
قدمی بلند برای جهانی شدن یــــاس و رپ فارسی یاس در mtv iggy به عنوان هنرمند هفته انتخاب شده و باهنرمندانی از	Afshin Zarei	chubkhat	Iran			http://t.co/HnlXZ7hP
اه برم تی شرت اونی رو بزنم که می خواد به اونیکی کادو بده حتی نمی شه اسماشونو آورد خیلی بده	opium	opiums	Iran			
بعدش هي ميگن خدا را أيجوووري شد چرا أووووجوووري نشد ؟؟؟ هي بندازين گردن خدا نو نميشه خو	AHMAD MOSHARRAF	SABZ_2020	ايران			
تصبحون عله خير و في امان الله	AHMAD MOSHARRAF	SABZ_2020	ايران			
بعله رولت روسی نیروگاه اماده نمیشه	alinili	alinili	not-given			
درود و سلام بر آن که کیهان را جریده دریده خواند	alinili	alinili	not-given			
سلام اعلام حضور در فر فر	alinili	alinili	not-given			http://ff.im/8deTs
بزودي دوباره منتشر مي شود pic	alinili	alinili	not-given			http://ff.im/7xg4j
روزهای معمولی پایان فصل	Mohsen	mohsenemi	Tehran,Iran			
خواص سرکه رم دارم مطالعه می کنم	Hossein	Hosseinht	not-given			
swype خیلی خوبه تو دیقه میشه صفحه تایپ کرد دی	Hossein	Hosseinht	not-given			
من فردا واسه عضویت تشریف میارم دی با تشکر دی	Hossein	Hosseinht	not-given		@lvliMu	
fwd همیشه برای ندا آقا سلطان و خانواده اش احترام ویژه ای قائل بودم خانواده ندا هیچ وقت تن به دروغهای pic	Dadashzadeh.Mahmoud	Mahmoudina	Iran			http://ff.im/wHDie
موندم با این وضع چطوریاس که میگن فردا بیاید میدون ولیعصر و مصلا؟	behnamazizi	behnamazizi	tehran			
الهی ، اصن تا که خوبه ، داداشتم میام آدمش میکنم ، شما جووون بخوا	ژنرال فرهاد	FarhadNouri	Ankara, Turkey		@proshagol	
بیداری ؟ وب بدم ؟	ژنرال فرهاد	FarhadNouri	Ankara, Turkey			
خوبی شیفت شب اینه که میشه راحت تایم لاین رو چت روم کرد ، کی به کیه	ژنرال فرهاد	FarhadNouri	Ankara, Turkey			
فورزا یوونتوس ، ریتوییت کنید برسه به دست یک یووه ایی دیگه	HasanJuventino	HasanJuventino	Ahwaz			
افسانه‌های جنبش سبز ۵ دموکراسی انتخابات	Taha Zeinali	tahazeinali	not-given			http://t.co/HtGW6xjb
واقعا جونی ما رو کرده گل گفتی	morteza	morteza777	not-given		@nooshink	
یکی از شروط لازم موفقیت، تسلط به روش‌های جستجو در زمینه‌های مورد نیاز هست	farzaam	farzaam	not-given			
محوطه دانشگاه را خفه کرده اند با پوسترها و پارچه ها و پلاکاردهای حمایت از خامنه ای	farzaam	farzaam	not-given			http://ff.im/Duk5U
همش می گه حواست پیشه منه می گم اره بابا دی	dead_man	Amiroooooooo	not-given			
خودمم ربط توییتام بهم دیگه نمی دونم حالم خوب نیست انگار	dead_man	Amiroooooooo	not-given			
آدم‌ها در دو حالت همدیگر را ترک می‌کنند اول اینکه احساس کنند کسی دوستشون نداره دوم اینکه احساس کنند یکی خیلی	Saaman Zahedi	Odyseh	Iran, Kurdistan, Sanandaj			http://fb.me/122BpQFun
تنها موجود شناخته شده در جهان که عمر جاودانه دارد عکس	Koorosh Raad	tirtekeneh	not-given			http://donbaleh.com/link/244741
fwd βokєh planєt از طریق pic	Koorosh Raad	tirtekeneh	not-given			http://www.flickr.com/photos/findthemagic/sets/72157615805808326/detail/?page=3,http://ff.im/dB7Pw
خامنه ای گفته اگر دشمن فشار بیاورد حادثه عاشورا را تکرار میکنیم هی دارم به خودم فشار میارم تا معنی این جمله رو	Koorosh Raad	tirtekeneh	not-given			http://ff.im/dgew6
آهنگ رضا یزدانی که برای فیلم محاکمه مسعود کیمیایی ساخته خیلی قشنگه مثل تمام کارهای رضا یزدانی	Koorosh Raad	tirtekeneh	not-given			
منم میس یو ‏ دی چرا اسمت همش عوض میشه ‏ باهات احساس غریبگی میکنم ‏ ‏‏ ‏‏ ‏	نازنیـــن	NaaZaaNiN	North of Iran		@_Moamad_	
افشای سند محرمانه آزادی گروگانهای آمریکایی در تهران و ایرانی در لندن via	Hossein	Hossein1234	1234		@AddThis	http://t.co/MtG6B1k
وستیلم رو برای مسابقه آماده کردم	iVampire	dastnevis	In Your Mind!			
سعی بر روت کردت اندرویدم داشتم که ظاهرا موفق ن ش د م	iVampire	dastnevis	In Your Mind!			
